Action, SubLocation,SubLocation-name,IP,State,Country,Time Zone, Auth-Enable,XFF-Enable, Firewall-Enable, Bandwidth-Enable,Upload(Mbps),Download(Mbps), SurrogateIP-Enable,Digit-TimeUnit,,,,<parent-location-name>,,,SurrogateIP-Enforced-KnownBrowsers,SurrogateIP Refresh Time,GRE-Enable,AUP-Enable,AUP Refresh Time,,,aupBlockInternetAccess-Enable,aupForceSSLInspection-Enable,Caution-Enable,IPS-Enable,Exclude-Manual-Group,Exclude-Dynamic-Group,Kerberos-Enable,Digest-Auth-Enable,Location-Type,Description,Basic-Auth-Enable
+,sublocationip,ABC005A,10.133.177.240/31,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,WNN001B,10.106.140.62/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,DET027A,10.121.127.23/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,DET006A,10.121.37.218/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,DET014A,10.121.48.238/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LSC011A,10.125.40.228/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,abq034a,10.125.46.111/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,MCH002B,10.129.165.108/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LRN002A,10.129.51.205/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,SGP007A,10.129.53.178/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LAR002A,10.133.206.116/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,SDO042F,10.134.148.245/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,IML020A,10.134.188.227/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,AVI001A,10.134.216.242/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LOS010A,10.134.54.25/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LOS047A,10.134.78.61/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,CAR015A,10.134.88.101/24,ICP2,,,,,,,,,INVALID_INPUT_ARGUMENT - 10.134.148.245/24 - 10.134.148.245/24 already belongs to one of the sublocations. Please enter a unique IP among the sublocations.,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,SAY001E,10.134.96.181/24,ICP2,,,,,,,,,INVALID_INPUT_ARGUMENT - 10.147.168.154/24 - 10.147.168.154/24 already belongs to one of the sublocations. Please enter a unique IP among the sublocations.,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,HIA008A,10.135.161.244/24,ICP2,,,,,,,,"
",,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,IML006A,10.135.34.72/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,IML007A,10.135.36.185/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,ELP005A,10.136.50.172/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,EGL014A,10.137.49.232/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,CHI024A,10.138.162.246/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
